Date,Total Sales,Daily_Sales,Notes
2024-09-09,0.0,0,Assumed
2024-09-10,,14,Assumed
2024-09-11,27.0,14,Assumed
2024-09-12,200.0,173,Delta
2024-09-13,,1103,Assumed
2024-09-14,,1103,Assumed
2024-09-15,,1103,Assumed
2024-09-16,,1103,Assumed
2024-09-17,5715.0,1103,Assumed
2024-09-18,,875,Assumed
2024-09-19,,875,Assumed
2024-09-20,,875,Assumed
2024-09-21,,875,Assumed
2024-09-22,,875,Assumed
2024-09-23,,875,Assumed
2024-09-24,11840.0,875,Assumed
2024-09-25,,434,Assumed
2024-09-26,12708.0,434,Assumed
2024-09-27,,222,Assumed
2024-09-28,13152.0,222,Assumed
2024-09-29,13238.0,86,Delta
2024-09-30,,94,Assumed
2024-10-01,13427.0,94,Assumed
2024-10-02,13716.0,289,Delta
2024-10-03,,242,Assumed
2024-10-04,14201.0,242,Assumed
2024-10-05,14740.0,539,Delta
2024-10-06,15189.0,449,Delta
2024-10-07,15634.0,445,Delta
2024-10-08,16008.0,374,Delta
2024-10-09,16330.0,322,Delta
2024-10-10,,401,Assumed
2024-10-11,17132.0,401,Assumed
2024-10-12,,213,Assumed
2024-10-13,17558.0,213,Assumed
2024-10-14,16962.0,293,Assumed
2024-10-15,15935.0,372,Assumed
2024-10-16,14917.0,452,Assumed
2024-10-17,14304.0,531,Assumed
2024-10-18,14915.0,611,Delta
2024-10-19,,967,Assumed
2024-10-20,19686.0,1322,Assumed
2024-10-21,21364.0,1678,Delta
2024-10-22,21364.0,0,Delta
2024-10-23,22044.0,680,Delta
2024-10-24,22802.0,758,Delta
2024-10-25,24556.0,1754,Delta
2024-10-26,29577.0,1548,Assumed
2024-10-27,,1342,Assumed
2024-10-28,31849.0,1136,Assumed
2024-10-29,33742.0,1893,Delta
2024-10-30,35184.0,1442,Delta
2024-10-31,,1126,Assumed
2024-11-01,37437.0,1126,Assumed
2024-11-02,39933.0,2496,Delta
2024-11-03,42374.0,2245,Assumed
2024-11-04,,1994,Assumed
2024-11-05,45860.0,1743,Assumed
2024-11-06,,1060,Assumed
2024-11-07,47981.0,1060,Assumed
2024-11-08,49230.0,1249,Delta
2024-11-09,51229.0,1999,Delta
2024-11-10,52963.0,1734,Delta
2024-11-11,54288.0,1325,Delta
2024-11-12,55317.0,1029,Delta
2024-11-13,56008.0,691,Delta
2024-11-14,56008.0,0,Delta
2024-11-15,56598.0,590,Delta
2024-11-16,56672.0,74,Delta
2024-11-17,55739.0,132,Assumed
2024-11-18,54210.0,189,Assumed
2024-11-19,,247,Assumed
2024-11-20,50536.0,304,Assumed
2024-11-21,48747.0,362,Assumed
2024-11-22,48394.0,419,Assumed
2024-11-23,48871.0,477,Delta
2024-11-24,48599.0,416,Assumed
2024-11-25,47295.0,354,Assumed
2024-11-26,46615.0,292,Assumed
2024-11-27,,231,Assumed
2024-11-28,45330.0,170,Assumed
2024-11-29,45438.0,108,Delta
2024-11-30,46395.0,957,Delta
2024-12-01,46894.0,499,Delta
2024-12-02,45737.0,455,Assumed
2024-12-03,44174.0,411,Assumed
2024-12-04,43047.0,367,Assumed
2024-12-05,42218.0,323,Assumed
2024-12-06,41788.0,279,Assumed
2024-12-07,,236,Assumed
2024-12-08,,192,Assumed
2024-12-09,40027.0,148,Assumed
2024-12-10,,104,Assumed
2024-12-11,37919.0,60,Assumed
2024-12-12,,16,Assumed
2024-12-13,37952.0,16,Assumed
2024-12-14,38657.0,705,Delta
2024-12-15,52300.0,750,Assumed
2024-12-16,43361.0,796,Assumed
2024-12-17,,841,Assumed
2024-12-18,42998.0,887,Assumed
2024-12-19,,932,Assumed
2024-12-20,44863.0,932,Assumed
2024-12-21,45460.0,597,Delta
2024-12-22,,565,Assumed
2024-12-23,44907.0,532,Assumed
2024-12-24,44229.0,500,Assumed
2024-12-25,43723.0,468,Assumed
2024-12-26,42993.0,436,Assumed
2024-12-27,42291.0,403,Assumed
2024-12-28,41765.0,371,Assumed
2024-12-29,41140.0,339,Assumed
2024-12-30,40132.0,306,Assumed
2024-12-31,38980.0,274,Assumed
2025-01-01,38081.0,242,Assumed
2025-01-02,37472.0,209,Assumed
2025-01-03,36941.0,177,Assumed
2025-01-04,,145,Assumed
2025-01-05,,113,Assumed
2025-01-06,36249.0,80,Assumed
2025-01-07,36297.0,48,Delta
2025-01-08,36170.0,50,Assumed
2025-01-09,,51,Assumed
2025-01-10,35902.0,53,Assumed
2025-01-11,35608.0,54,Assumed
2025-01-12,35152.0,56,Assumed
2025-01-13,34254.0,58,Assumed
2025-01-14,,59,Assumed
2025-01-15,33182.0,61,Assumed
2025-01-16,32591.0,63,Assumed
2025-01-17,31841.0,64,Assumed
2025-01-18,31093.0,66,Assumed
2025-01-19,30470.0,68,Assumed
2025-01-20,29971.0,69,Assumed
2025-01-21,29409.0,71,Assumed
2025-01-22,28814.0,72,Assumed
2025-01-23,28283.0,74,Assumed
2025-01-24,27814.0,76,Assumed
2025-01-25,27434.0,77,Assumed
2025-01-26,27179.0,79,Assumed
2025-01-27,26977.0,80,Assumed
2025-01-28,26616.0,82,Assumed
2025-01-29,26372.0,84,Assumed
2025-01-30,26110.0,85,Assumed
2025-01-31,26197.0,87,Delta
2025-02-01,26145.0,82,Assumed
2025-02-02,26221.0,76,Delta
2025-02-03,26296.0,75,Delta
2025-02-04,26163.0,78,Assumed
2025-02-05,25786.0,81,Assumed
2025-02-06,25557.0,83,Assumed
2025-02-07,25487.0,86,Assumed
2025-02-08,25576.0,89,Delta
2025-02-09,25558.0,67,Assumed
2025-02-10,25484.0,44,Assumed
2025-02-11,25281.0,22,Assumed
2025-02-12,25281.0,0,Delta
2025-02-13,25281.0,0,Assumed
